Store Name,Address,Latitude,Longitude
東急百貨店さっぽろアミューズパーク,北海道札幌市中央区北４条西２−１東急百貨店さっぽろ店９階,,
タイトーステーション札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４,,
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1,,
キャッツアイ篠路店,北海道札幌市北区篠路１条４丁目６ー３０,,
ＧｉＧＯ札幌駅西口,北海道札幌市北区北６条西６丁目１‐１,,
キャッツアイ新川店,北海道札幌市北区新川二条７丁目１ー７,,
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１−５０,,
キャッツアイ栄通店,北海道札幌市白石区栄通１９丁目１１−４３,,
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条１ー２−１０,,
ゲームランド新さっぽろ,北海道札幌市厚別区中央２条５丁目７−３ カテプリさっぽろ３階,,
トムソーヤのなかまたち藻岩店,北海道札幌市南区川治二条２−１−１イオン札幌藻岩店,,
キャッツアイ清田店,北海道札幌市清田区清田１条１−２０−１,,
キャッツアイミュンヘン大橋店,北海道札幌市豊平区平岸１条２３丁目８０１−１,,
ソユーゲームフィールド苗穂店,北海道札幌市東区東苗穂2条3-1-1　イオンモール札幌苗穂２Ｆ,,
キャッツアイ東苗穂店,北海道札幌市東区東苗穂６条２丁目１−２５,,
アドアーズ札幌北４２条,北海道札幌市東区北４２条東７−１−１　嶋ビル２階,,
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１−１−２１,,
ＧｉＧＯ西友手稲,北海道札幌市手稲区前田１条１１丁目西友手稲店３階,,
キャッツアイ宮の沢店,北海道札幌市手稲区西宮の沢５条２丁目１１−１５,,
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1　イオン札幌発寒SC3F,,
ＧｉＧＯドリームタウン白樺,北海道帯広市白樺１６条西２丁目ドリームタウン白樺１階,,
ＧｉＧＯ帯広稲田,北海道帯広市稲田町南八線西１２−１スズランボウル１・２階,,
タイトーイオンモール釧路昭和店,北海道釧路市昭和中央４−１８−１　イオンモール釧路昭和２Ｆ,,
ギャラクシーゲート星が浦,北海道釧路市星が浦大通２−５,,
アミューズメントスペース遊ランド春光店,北海道旭川市春光1条7丁目2-25,,
ラウンドワン旭川店,北海道旭川市永山三条１−４−７,,
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F,,
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F,,
ＧｉＧＯ北見,北海道北見市西三輪５丁目１番地１６号,,
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１,,
ファンタジープラザ苫小牧,北海道苫小牧市木場町1-6-1MEGAドンキホーテ苫小牧2F,,
キャッツアイ苫小牧駅前店,北海道苫小牧市木場町１丁目３番地２,,
ＧｉＧＯイオンモール苫小牧,北海道苫小牧市柳町３丁目１番２０号イオンモール苫小牧２階,,
タイトーステーション 千歳店,北海道千歳市北栄２−１２−５,,
イオン千歳　キッズパーク,北海道千歳市栄町６−６１,,
ＰＡＬＯ滝川,北海道滝川市東町２丁目２９−１　イオン滝川１Ｆ,,
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１,,
ＰＡＬＯ釧路,北海道釧路郡釧路町桂木１−１−７　イオン釧路店２F,,
キャッツアイ恵庭店,北海道恵庭市住吉町２丁目９−１,,
ＧｉＧＯ室蘭,北海道室蘭市東町４丁目３１番２号１階,,
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２−８−１,,
ＧｉＧＯ函館昭和,北海道函館市昭和３丁目２４−１８ゲオ函館昭和店１階,,
宝島　函館店,北海道函館市美原１−７−１　ＭＥＧＡドン・キホーテ函館店２Ｆ,,
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ,,
ラウンドワン函館店,北海道函館市西桔梗町８４８−１１,,
モーリーファンタジー中標津,北海道標津郡中標津町南町３番地１０　東武サウスヒルズ,,
ＰＡＬＯ網走,北海道網走市駒場北５丁目８３番地,,
キャッツアイ静内店,北海道日高郡新ひだか町静内木場町２丁目１−４１,,
モーリーファンタジー三笠店,北海道三笠市岡山１０５９−１スーパーセンター１Ｆ,,
ＰＡＬＯ江別,北海道江別市幸町35　3F,,
イオン紋別　キッズパーク,北海道紋別市花園3-4-39,,
